,no_6,value_6,no_5,value_5,no_4,value_4,no_3,value_3,winning_tickets,winnings
26-09-2019,0.0,0.0,53.0,209201.59999999998,2461.0,239701.40000000002,42322.0,1015728.0,44836.0,1464631.0
24-09-2019,0.0,0.0,27.0,192653.1,2072.0,260243.19999999998,37321.0,895704.0,39420.0,1348600.3
21-09-2019,0.0,0.0,43.0,255041.6,2591.0,393054.69999999995,47384.0,1137216.0,50018.0,1785312.2999999998
19-09-2019,1.0,11492282.4,49.0,303163.0,2710.0,595387.0,50990.0,1223760.0,53750.0,13614592.4
17-09-2019,0.0,0.0,51.0,289486.2,2620.0,667314.0,44570.0,1069680.0,47241.0,2026480.2
14-09-2019,0.0,0.0,68.0,358577.6,3469.0,575160.2000000001,65680.0,1576320.0,69217.0,2510057.8
12-09-2019,0.0,0.0,51.0,243861.6,2801.0,249569.09999999998,50573.0,1213752.0,53425.0,1707182.7
10-09-2019,0.0,0.0,62.0,234546.0,2993.0,228365.9,49125.0,1179000.0,52180.0,1641911.9
07-09-2019,0.0,0.0,90.0,286893.0,3694.0,267445.60000000003,60585.0,1454040.0,64369.0,2008378.6
05-09-2019,0.0,0.0,30.0,187257.0,1672.0,357473.60000000003,31921.0,766104.0,33623.0,1310834.6
03-09-2019,0.0,0.0,27.0,185746.5,1904.0,222768.0,37155.0,891720.0,39086.0,1300234.5
31-08-2019,2.0,10315109.8,88.0,367778.4,4153.0,478840.89999999997,71998.0,1727952.0,76241.0,12889681.100000001
29-08-2019,0.0,0.0,63.0,254835.0,2957.0,345377.6,49326.0,1183824.0,52346.0,1784036.6
27-08-2019,0.0,0.0,53.0,253467.19999999998,2032.0,557987.2000000001,40121.0,962904.0,42206.0,1774358.4
24-08-2019,0.0,0.0,40.0,312104.0,2950.0,515070.0,56564.0,1357536.0,59554.0,2184710.0
22-08-2019,0.0,0.0,46.0,217727.19999999998,2278.0,310719.2,41487.0,995688.0,43811.0,1524134.4
20-08-2019,0.0,0.0,49.0,204472.09999999998,2286.0,267004.8,39993.0,959832.0,42328.0,1431308.9
17-08-2019,0.0,0.0,64.0,265113.6,2711.0,351887.80000000005,51626.0,1239024.0,54401.0,1856025.4
15-08-2019,1.0,11253473.6,76.0,265110.8,3234.0,390020.39999999997,50027.0,1200648.0,53338.0,13109252.8
13-08-2019,0.0,0.0,57.0,319684.5,2840.0,606908.0,54634.0,1311216.0,57531.0,2237808.5
10-08-2019,0.0,0.0,47.0,351611.7,3521.0,630963.2,61618.0,1478832.0,65186.0,2461406.9
08-08-2019,0.0,0.0,57.0,244142.4,2950.0,266975.0,49918.0,1198032.0,52925.0,1709149.4
06-08-2019,0.0,0.0,31.0,228721.1,1876.0,519839.60000000003,35524.0,852576.0,37431.0,1601136.7000000002
03-08-2019,0.0,0.0,54.0,267370.2,2288.0,524180.8,45003.0,1080072.0,47345.0,1871623.0
01-08-2019,0.0,0.0,30.0,188376.0,1924.0,266666.39999999997,35988.0,863712.0,37942.0,1318754.4
30-07-2019,0.0,0.0,30.0,181092.0,2005.0,196089.0,37106.0,890544.0,39141.0,1267725.0
27-07-2019,1.0,3469143.5,37.0,257101.9,1980.0,588258.0,39771.0,954504.0,41789.0,5269007.4
25-07-2019,0.0,0.0,53.0,186422.2,2384.0,165211.19999999998,39725.0,953400.0,42162.0,1305033.4
23-07-2019,0.0,0.0,29.0,187235.59999999998,1694.0,329652.39999999997,33074.0,793776.0,34797.0,1310664.0
20-07-2019,1.0,11992884.7,66.0,386271.60000000003,3534.0,769351.7999999999,64524.0,1548576.0,68125.0,14697084.1
18-07-2019,0.0,0.0,111.0,295981.5,4144.0,205128.0,65448.0,1570752.0,69703.0,2071861.5
16-07-2019,0.0,0.0,95.0,281418.5,4027.0,289944.0,58275.0,1398600.0,62397.0,1969962.5
13-07-2019,0.0,0.0,80.0,328320.0,3418.0,504155.0,61085.0,1466040.0,64583.0,2298515.0
11-07-2019,0.0,0.0,55.0,234124.0,2360.0,339368.0,44394.0,1065456.0,46809.0,1638948.0
09-07-2019,0.0,0.0,85.0,214149.0,3609.0,129924.0,53207.0,1276968.0,56901.0,1621041.0
06-07-2019,0.0,0.0,29.0,258917.80000000002,2156.0,524770.4,42865.0,1028760.0,45050.0,1812448.2000000002
04-07-2019,0.0,0.0,22.0,181381.2,1616.0,322230.4,31921.0,766104.0,33559.0,1269715.6
02-07-2019,1.0,3564486.9,28.0,211036.0,1706.0,455843.19999999995,33767.0,810408.0,35502.0,5041774.1
29-06-2019,0.0,0.0,64.0,255878.4,3187.0,279181.19999999995,52345.0,1256280.0,55596.0,1791339.6
27-06-2019,0.0,0.0,50.0,181185.0,2329.0,174675.0,38018.0,912432.0,40397.0,1268292.0
25-06-2019,1.0,14479253.0,67.0,328762.3,3352.0,514867.19999999995,60742.0,1457808.0,64162.0,16780690.5
22-06-2019,0.0,0.0,61.0,383543.60000000003,3528.0,709833.6,66323.0,1591752.0,69912.0,2685129.2
20-06-2019,0.0,0.0,45.0,234270.0,2482.0,368577.0,43218.0,1037232.0,45745.0,1640079.0
18-06-2019,0.0,0.0,40.0,289068.0,2793.0,475647.9,52456.0,1258944.0,55289.0,2023659.9
15-06-2019,0.0,0.0,48.0,320702.4,3279.0,483980.39999999997,60018.0,1440432.0,63345.0,2245114.8
13-06-2019,0.0,0.0,34.0,230598.2,1976.0,466928.80000000005,38195.0,916680.0,40205.0,1614207.0
11-06-2019,0.0,0.0,43.0,219914.9,2195.0,342639.5,40709.0,977016.0,42947.0,1539570.4
08-06-2019,0.0,0.0,51.0,263772.0,2539.0,420966.2,48406.0,1161744.0,50996.0,1846482.2
06-06-2019,0.0,0.0,43.0,181670.69999999998,1928.0,256231.2,34745.0,833880.0,36716.0,1271781.9
